source_key,source_table,parquet_name,rows,status,error,written_at
bb_2018_2018_07_03_pnhr_04072018.csv,bb_2018_2018_07_03_pnhr_04072018,bb_2018_2018_07_03_pnhr_04072018.parquet,1998,success,,2026-08-31T11:28:28.590699+00:00
bb_2018_2018_05_10_pj_pf.csv,bb_2018_2018_05_10_pj_pf,bb_2018_2018_05_10_pj_pf.parquet,413964,success,,2026-08-31T11:33:35.299936+00:00
bb_2018_2018_08_06_pj.csv,bb_2018_2018_08_06_pj,bb_2018_2018_08_06_pj.parquet,1962,success,,2026-08-31T11:33:35.713949+00:00
bb_2018_2018_08_06_pf_pf.csv,bb_2018_2018_08_06_pf_pf,bb_2018_2018_08_06_pf_pf.parquet,239848,success,,2026-08-31T11:35:08.416539+00:00
bb_2018_2018_06_10_pj_pf.csv,,,0,error,"MaxRetryError: HTTPConnectionPool(host='10.0.0.56', port=9000): Max retries exceeded with url: /data-lake-mcid/staging/dados_historicos/bb_2018_2018_06_10_pj_pf.parquet?partNumber=1&uploadId=NGVkNmFjM2UtYmNkNi00Y2VjLTg3ZjMtMzZjMjMyMTA2MzJhLmU2N2RhNThmLWUwZjktNDg2My05NGU4LTUyZjJkMzA3MmE3Y3gxNzg4MTc2MzI4NzU3MDgyMjAy (Caused by ProtocolError('Connection aborted.', TimeoutError('timed out')))",2026-08-31T11:39:53.340339+00:00
bb_2018_2018_09_10_pj.csv,bb_2018_2018_09_10_pj,bb_2018_2018_09_10_pj.parquet,1968,success,,2026-08-31T11:39:54.970036+00:00
bb_2018_2018_09_10_pf_pf.csv,bb_2018_2018_09_10_pf_pf,bb_2018_2018_09_10_pf_pf.parquet,242928,success,,2026-08-31T11:42:54.928441+00:00
bb_2018_2018_08_06_pj_pf.csv,bb_2018_2018_08_06_pj_pf,bb_2018_2018_08_06_pj_pf.parquet,439992,success,,2026-08-31T11:49:46.126911+00:00
bb_2018_2018_10_01_pj.csv,bb_2018_2018_10_01_pj,bb_2018_2018_10_01_pj.parquet,1972,success,,2026-08-31T11:49:46.681393+00:00
bb_2018_2018_07_03_pj_pf.csv,bb_2018_2018_07_03_pj_pf,bb_2018_2018_07_03_pj_pf.parquet,436298,success,,2026-08-31T11:53:16.716992+00:00
bb_2018_2018_10_01_pf_pf.csv,bb_2018_2018_10_01_pf_pf,bb_2018_2018_10_01_pf_pf.parquet,244860,success,,2026-08-31T11:56:55.160314+00:00
bb_2018_2018_10_30_pj.csv,,,0,error,ServerError: server failed with HTTP status code 499,2026-08-31T11:57:28.176028+00:00
bb_2018_2018_09_10_pj_pf.csv,bb_2018_2018_09_10_pj_pf,bb_2018_2018_09_10_pj_pf.parquet,447388,success,,2026-08-31T11:58:37.524455+00:00
bb_2018_2018_10_30_pf_pf.csv,bb_2018_2018_10_30_pf_pf,bb_2018_2018_10_30_pf_pf.parquet,247770,success,,2026-08-31T12:00:49.853093+00:00
bb_2019_2019_03_07_pj_pf.csv,bb_2019_2019_03_07_pj_pf,bb_2019_2019_03_07_pj_pf.parquet,2004,success,,2026-08-31T12:00:50.476073+00:00
bb_2019_2019_05_07_2019_05_07_pj.csv,bb_2019_2019_05_07_2019_05_07_pj,bb_2019_2019_05_07_2019_05_07_pj.parquet,2008,success,,2026-08-31T12:00:59.158003+00:00
bb_2019_2019_03_07_pf_pf.csv,bb_2019_2019_03_07_pf_pf,bb_2019_2019_03_07_pf_pf.parquet,256854,success,,2026-08-31T12:02:45.280054+00:00
bb_2018_2018_10_01_pj_pf.csv,bb_2018_2018_10_01_pj_pf,bb_2018_2018_10_01_pj_pf.parquet,453934,success,,2026-08-31T12:12:57.472245+00:00
caixa_001_2009_10_outubro_2009_pmcmv_08_10_2009___caixa.csv,caixa_001_2009_10_outubro_2009_pmcmv_08_10_2009___caixa,caixa_001_2009_10_outubro_2009_pmcmv_08_10_2009___caixa.parquet,21,success,,2026-08-31T12:12:57.731640+00:00
caixa_001_2009_12_dezembro_2009_pmcmv_24_12_2009_parte2.csv,caixa_001_2009_12_dezembro_2009_pmcmv_24_12_2009_parte2,caixa_001_2009_12_dezembro_2009_pmcmv_24_12_2009_parte2.parquet,19010,success,,2026-08-31T12:12:58.658475+00:00
caixa_001_2010_06___junho_2010_contrata__o30062010.csv,caixa_001_2010_06___junho_2010_contratação30062010,caixa_001_2010_06___junho_2010_contratação30062010.parquet,4450,success,,2026-08-31T12:13:01.728121+00:00
caixa_001_2010_08___agosto_2010_munic_pios_contratados_1308.csv,caixa_001_2010_08___agosto_2010_municípios_contratados_1308,caixa_001_2010_08___agosto_2010_municípios_contratados_1308.parquet,66,success,,2026-08-31T12:13:01.980206+00:00
caixa_001_2010_09___setembro_2010_pmcmv06092010_desligados.csv,caixa_001_2010_09___setembro_2010_pmcmv06092010_desligados,caixa_001_2010_09___setembro_2010_pmcmv06092010_desligados.parquet,5354,success,,2026-08-31T12:13:06.503062+00:00
