"table_name","formacao","confidence","notes"
bb_2014_11_novembro_3011_min_cidades_pf_pf,bem_formada,high,""
bb_2014_11_novembro_3011_min_cidades_pj,bem_formada,high,""
bb_2014_11_novembro_3011_min_cidades_pj_pf,bem_formada,high,""
bb_2014_11_novembro_3011_pnhr_30112014,bem_formada,high,""
bb_2014_12_dezembro_min_cidades_pf_pf,bem_formada,high,""
bb_2014_12_dezembro_min_cidades_pj,bem_formada,high,""
bb_2014_12_dezembro_min_cidades_pj_pf,bem_formada,high,""
bb_2014_12_dezembro_pnhr_15122014,bem_formada,high,""
bb_2014_12_dezembro_pnhr_20141231,bem_formada,high,""
bb_2015_01_janeiro_2015_01_15_min_cidades_pf_pf,bem_formada,high,""
bb_2015_01_janeiro_2015_01_15_min_cidades_pj,bem_formada,high,""
bb_2015_01_janeiro_2015_01_15_min_cidades_pj_pf,bem_formada,high,""
bb_2015_01_janeiro_2015_01_15_pnhr_15012015,bem_formada,high,""
bb_2015_01_janeiro_2015_01_31_min_cidades_pf_pf,bem_formada,high,""
bb_2015_01_janeiro_2015_01_31_min_cidades_pj,bem_formada,high,""
bb_2015_01_janeiro_2015_01_31_min_cidades_pj_pf,bem_formada,high,""
bb_2015_02_fevereiro_min_cidades_pf_pf,bem_formada,high,""
bb_2015_02_fevereiro_min_cidades_pj,bem_formada,high,""
bb_2015_02_fevereiro_min_cidades_pj_2015_02,bem_formada,high,""
bb_2015_02_fevereiro_min_cidades_pj_pf,bem_formada,high,""
bb_2015_02_fevereiro_pnhr_28022015,bem_formada,high,""
bb_2015_03_marco_cgu_of_6263_tab_emp_20150831,vazia,high,""
bb_2015_03_marco_min_cidades_pf_pf,bem_formada,high,""
bb_2015_03_marco_min_cidades_pj,bem_formada,high,""
bb_2015_03_marco_min_cidades_pj_2015_03,bem_formada,high,""
bb_2015_03_marco_min_cidades_pj_pf,bem_formada,high,""
bb_2015_03_marco_pnhr_15032015,bem_formada,high,""
bb_2015_03_marco_pnhr_31032015,bem_formada,high,""
bb_2015_04_abril_min_cidades_pf_pf,bem_formada,high,""
bb_2015_04_abril_min_cidades_pj,bem_formada,high,""
bb_2015_04_abril_min_cidades_pj_pf,bem_formada,high,""
bb_2015_04_abril_pnhr_30042015,bem_formada,high,""
bb_2015_05_maio_2015_05_31_min_cidades_pf_pf,bem_formada,high,""
bb_2015_05_maio_2015_05_31_min_cidades_pj,bem_formada,high,""
bb_2015_05_maio_2015_05_31_min_cidades_pj_pf,bem_formada,high,""
bb_2015_06_junho_min_cidades_pf_pf,bem_formada,high,""
bb_2015_06_junho_min_cidades_pj,bem_formada,high,""
bb_2015_06_junho_min_cidades_pj_pf,bem_formada,high,""
bb_2015_08_agosto_loginfesta,dados_sem_utilidade,high,""
bb_2015_08_agosto_min_cidades_pf_pf,bem_formada,high,""
bb_2015_08_agosto_min_cidades_pj,bem_formada,high,""
bb_2015_08_agosto_min_cidades_pj_pf,bem_formada,high,""
bb_2015_08_agosto_min_cidades_pj_sem_aspas,bem_formada,high,""
bb_2015_09_setembro_min_cidades_pf_pf,bem_formada,high,""
bb_2015_09_setembro_min_cidades_pj,bem_formada,high,""
bb_2015_09_setembro_min_cidades_pj_pf,bem_formada,high,""
bb_2015_09_setembro_pnhr_30092015,bem_formada,high,""
bb_2015_10_outubro_min_cidades_pf_pf,bem_formada,high,""
bb_2015_10_outubro_min_cidades_pj,bem_formada,high,""
bb_2015_10_outubro_min_cidades_pj_pf,bem_formada,high,""
bb_2015_10_outubro_pnhr_31102015,bem_formada,high,""
bb_2015_12_dezembro_min_cidades_pf_pf,bem_formada,high,""
bb_2015_12_dezembro_min_cidades_pj,bem_formada,high,""
bb_2015_12_dezembro_min_cidades_pj_pf,bem_formada,high,""
bb_2015_12_dezembro_pnhr_31122015,bem_formada,high,""
bb_2016_01_janeiro_2016_01_31_min_cidades_pf_pf,bem_formada,high,""
bb_2016_01_janeiro_2016_01_31_min_cidades_pj,bem_formada,high,""
bb_2016_01_janeiro_2016_01_31_min_cidades_pj_pf,bem_formada,high,""
bb_2016_01_janeiro_pnhr_31012016,bem_formada,high,""
bb_2016_02_fevereiro_2016_02_29_min_cidades_pf_pf,bem_formada,high,""
bb_2016_02_fevereiro_2016_02_29_min_cidades_pj,bem_formada,high,""
bb_2016_02_fevereiro_2016_02_29_min_cidades_pj_pf,bem_formada,high,""
bb_2016_02_fevereiro_pnhr_29022016,bem_formada,high,""
bb_2016_04_abril_min_cidades_pf_pf,bem_formada,high,""
bb_2016_04_abril_min_cidades_pj,bem_formada,high,""
bb_2016_04_abril_min_cidades_pj_pf,bem_formada,high,""
bb_2016_04_abril_pnhr_30042016,bem_formada,high,""
bb_2016_05_maio_2016_05_31_min_cidades_pf_pf,bem_formada,high,""
bb_2016_05_maio_2016_05_31_min_cidades_pj,bem_formada,high,""
bb_2016_05_maio_2016_05_31_min_cidades_pj_pf,bem_formada,high,""
bb_2016_05_maio_pnhr_31052016,bem_formada,high,""
bb_2016_06_junho_2016_06_30_min_cidades_pf_pf,bem_formada,high,""
bb_2016_06_junho_2016_06_30_min_cidades_pj,bem_formada,high,""
bb_2016_06_junho_2016_06_30_min_cidades_pj_pf,bem_formada,high,""
bb_2016_06_junho_pnhr_30062016,bem_formada,high,""
bb_2016_07_julho_2016_07_31_min_cidades_pj,bem_formada,high,""
bb_2016_07_julho_min_cidades_pf_pf,bem_formada,high,""
bb_2016_07_julho_min_cidades_pj_pf,bem_formada,high,""
bb_2016_07_julho_pnhr_31072016,bem_formada,high,""
bb_2018_2018_04_06_pf_pf,bem_formada,high,""
bb_2018_2018_04_06_pj,bem_formada,high,""
bb_2018_2018_04_06_pj_pf,bem_formada,high,""
bb_2018_2018_05_10_pf_pf,bem_formada,high,""
bb_2018_2018_05_10_pj,bem_formada,high,""
bb_2018_2018_05_10_pj_pf,bem_formada,high,""
bb_2018_2018_06_10_pf_pf,bem_formada,high,""
bb_2018_2018_06_10_pj,bem_formada,high,""
bb_2018_2018_06_10_pj_pf,bem_formada,high,""
bb_2018_2018_07_03_pf_pf,bem_formada,high,""
bb_2018_2018_07_03_pj,bem_formada,high,""
bb_2018_2018_07_03_pj_pf,bem_formada,high,""
bb_2018_2018_07_03_pnhr_04072018,bem_formada,high,""
bb_2018_2018_08_06_pf_pf,bem_formada,high,""
bb_2018_2018_08_06_pj,bem_formada,high,""
bb_2018_2018_08_06_pj_pf,bem_formada,high,""
bb_2018_2018_09_10_pf_pf,bem_formada,high,""
bb_2018_2018_09_10_pj,bem_formada,high,""
bb_2018_2018_09_10_pj_pf,bem_formada,high,""
bb_2018_2018_10_01_pf_pf,bem_formada,high,""
bb_2018_2018_10_01_pj,bem_formada,high,""
bb_2018_2018_10_01_pj_pf,bem_formada,high,""
bb_2018_2018_10_30_pf_pf,bem_formada,high,""
bb_2018_2018_10_30_pj,bem_formada,high,""
bb_2018_2018_10_30_pj_pf,bem_formada,high,""
bb_2019_2019_03_07_pf_pf,bem_formada,high,""
bb_2019_2019_03_07_pj_pf,bem_formada,high,""
bb_2019_2019_05_07_2019_05_07_pj,sem_cabecalho,high,""
bb_2019_2019_05_07_pf_pf,sem_cabecalho,high,""
bb_2019_2019_05_07_pj_pf,sem_cabecalho,high,""
caixa_001_2009_06_junho_2009_pmcmv_09_06_09___caixa,sub_tabelas_1,high,""
caixa_001_2009_06_junho_2009_pmcmv_19_06_2009___caixa,sub_tabelas_1,high,""
caixa_001_2009_06_junho_2009_pmcmv_26_06_2009___caixa,sub_tabelas_1,high,""
caixa_001_2009_07_julho_2009_pmcmv_02_07_09___caixa,sub_tabelas_1,high,""
caixa_001_2009_07_julho_2009_pmcmv_10_07_2009___casa_civil,sub_tabelas_1,high,""
caixa_001_2009_07_julho_2009_pmcmv_17_07_2009___caixa,sub_tabelas_1,high,""
caixa_001_2009_07_julho_2009_pmcmv_24_07_2009___caixa,sub_tabelas_1,high,""
caixa_001_2009_07_julho_2009_pmcmv_31_07_2009___caixa,sub_tabelas_1,high,""
caixa_001_2009_08_agosto_2009_pmcmv_07_08_2009___caixa,sub_tabelas_1,high,""
caixa_001_2009_08_agosto_2009_pmcmv_14_08_2009___caixa,sub_tabelas_1,high,""
caixa_001_2009_08_agosto_2009_pmcmv_20_08_2009___caixa,sub_tabelas_1,high,""
caixa_001_2009_08_agosto_2009_pmcmv_28_08_2009___caixa,sub_tabelas_1,high,""
caixa_001_2009_09_setembro_2009_pmcmv_04_09_2009___caixa,sub_tabelas_1,high,""
caixa_001_2009_09_setembro_2009_pmcmv_11_09_2009___caixa,sub_tabelas_1,high,""
caixa_001_2009_09_setembro_2009_pmcmv_17_09_2009___caixa,sub_tabelas_1,high,""
caixa_001_2009_09_setembro_2009_pmcmv_25_09_2009___caixa,sub_tabelas_1,high,""
caixa_001_2009_10_outubro_2009_pmcmv_08_10_2009___caixa,sub_tabelas_3,high,""
caixa_001_2009_10_outubro_2009_pmcmv_09_10_2009___caixa,sub_tabelas_1,high,""
caixa_001_2009_10_outubro_2009_pmcmv_16_10_2009___caixa,sub_tabelas_1,high,""
caixa_001_2009_10_outubro_2009_pmcmv_23_10_2009___caixa,sub_tabelas_1,high,""
caixa_001_2009_10_outubro_2009_pmcmv_30_10_2009___caixa,sub_tabelas_1,high,""
caixa_001_2009_10_outubro_2009_pmcmv_gráfico,sub_tabelas_1,high,""
caixa_001_2009_11_novembro_2009_pmcmv_06_11_2009___caixa,sub_tabelas_1,high,""
