"source_table","content_hash","file_size","canonical_table","is_duplicate"
caixa_001_2012_04_abril_pmcmv_relatorio_executivo_24_04_2012,"15b3d393766ac87369e54837bbb8cb58",536,"001_2012_02_fevereiro_base_pmcmv_relatorio_executivo_10_02_2012",true
caixa_001_2012_04_abril_pmcmv_relatorio_executivo_30_04_2012,"15b3d393766ac87369e54837bbb8cb58",536,"001_2012_02_fevereiro_base_pmcmv_relatorio_executivo_10_02_2012",true
caixa_001_2012_04_abril_validacao_1604_1804,"36b28749c50eacd06fa1019af307049d",6210,caixa_001_2012_04_abril_validacao_1604_1804,false
caixa_001_2012_05_maio_5b1__base_empreend_contratado,"97a9cbce3d5c7ed9e099f7b4c4d686a7",7954,caixa_001_2012_05_maio_5b1__base_empreend_contratado,false
caixa_001_2012_05_maio_pmcmv_relatorio_executivo_07_05_2012,"15b3d393766ac87369e54837bbb8cb58",536,"001_2012_02_fevereiro_base_pmcmv_relatorio_executivo_10_02_2012",true
caixa_001_2012_05_maio_pmcmv_relatorio_executivo_14_05_2012,"15b3d393766ac87369e54837bbb8cb58",536,"001_2012_02_fevereiro_base_pmcmv_relatorio_executivo_10_02_2012",true
caixa_001_2012_05_maio_pmcmv_relatorio_executivo_28_05_2012,"15b3d393766ac87369e54837bbb8cb58",536,"001_2012_02_fevereiro_base_pmcmv_relatorio_executivo_10_02_2012",true
caixa_001_2012_05_maio_pmcmv_relatorio_executivo_31_05_2012,"15b3d393766ac87369e54837bbb8cb58",536,"001_2012_02_fevereiro_base_pmcmv_relatorio_executivo_10_02_2012",true
caixa_001_2012_06_junho_pmcmv_relatorio_executivo_30_06_2012,"15b3d393766ac87369e54837bbb8cb58",536,"001_2012_02_fevereiro_base_pmcmv_relatorio_executivo_10_02_2012",true
caixa_001_2012_06_junho_pmcmv_relatorio_executivo_30_06_2012v2,"15b3d393766ac87369e54837bbb8cb58",536,"001_2012_02_fevereiro_base_pmcmv_relatorio_executivo_10_02_2012",true
caixa_001_2012_07_julho_bases_relatório_executivo_24_07_12,"9b4d96bb6c8c190551cb828827fb76b2",90,caixa_001_2012_07_julho_bases_relatório_executivo_24_07_12,false
caixa_001_2012_07_julho_bases_relatório_executivo_31072012_v2,"4b1b74f1119dc51012c57b655b6352d1",16436,caixa_001_2012_07_julho_bases_relatório_executivo_31072012_v2,false
caixa_001_2012_07_julho_bases_relatório_executivo_31_07_12,"4a0472f5f6ee7a49023f4920557e777d",16408,caixa_001_2012_07_julho_bases_relatório_executivo_31_07_12,false
caixa_001_2012_07_julho_pmcmv_relatorio_executivo_11_07_2012,"15b3d393766ac87369e54837bbb8cb58",536,"001_2012_02_fevereiro_base_pmcmv_relatorio_executivo_10_02_2012",true
caixa_001_2012_07_julho_pmcmv_relatorio_executivo_11_07_2012_bd,"15b3d393766ac87369e54837bbb8cb58",536,"001_2012_02_fevereiro_base_pmcmv_relatorio_executivo_10_02_2012",true
caixa_001_2012_07_julho_pmcmv_relatorio_executivo_15_07_2012,"15b3d393766ac87369e54837bbb8cb58",536,"001_2012_02_fevereiro_base_pmcmv_relatorio_executivo_10_02_2012",true
caixa_001_2012_07_julho_pmcmv_relatório_executivo_24_07_12,"15b3d393766ac87369e54837bbb8cb58",536,"001_2012_02_fevereiro_base_pmcmv_relatorio_executivo_10_02_2012",true
caixa_001_2012_07_julho_pmcmv_relatório_executivo_31072012_v2,"15b3d393766ac87369e54837bbb8cb58",536,"001_2012_02_fevereiro_base_pmcmv_relatorio_executivo_10_02_2012",true
caixa_001_2012_07_julho_pmcmv_relatório_executivo_31_07_12,"15b3d393766ac87369e54837bbb8cb58",536,"001_2012_02_fevereiro_base_pmcmv_relatorio_executivo_10_02_2012",true
caixa_001_2012_08_agosto_base_pf_e_pj_06_08_12,cae9a69dd2d73ee1f20bb2a53d7f1c5c,16524,caixa_001_2012_08_agosto_base_pf_e_pj_06_08_12,false
caixa_001_2012_08_agosto_base_pf_e_pj_14_08_12,"01a472215496fe4df6ec7fd2b34523d9",16800,caixa_001_2012_08_agosto_base_pf_e_pj_14_08_12,false
caixa_001_2012_08_agosto_base_pf_e_pj_20_08_12,"2d64cb7e2a7e810ed52c9efedccd5d82",16984,caixa_001_2012_08_agosto_base_pf_e_pj_20_08_12,false
caixa_001_2012_08_agosto_base_pf_e_pj_24_08_12,"9d6d420f8a790b8a1e40440b6db9e5ac",17038,caixa_001_2012_08_agosto_base_pf_e_pj_24_08_12,false
caixa_001_2012_08_agosto_bases_relatório_executivo_31_08_12,e0d53a0e1ef1cad9d2e4133a2541fa63,17220,caixa_001_2012_08_agosto_bases_relatório_executivo_31_08_12,false
caixa_001_2012_08_agosto_pmcmv_relatório_executivo_06_08_12,"15b3d393766ac87369e54837bbb8cb58",536,"001_2012_02_fevereiro_base_pmcmv_relatorio_executivo_10_02_2012",true
caixa_001_2012_08_agosto_pmcmv_relatório_executivo_14_08_12,"15b3d393766ac87369e54837bbb8cb58",536,"001_2012_02_fevereiro_base_pmcmv_relatorio_executivo_10_02_2012",true
caixa_001_2012_08_agosto_pmcmv_relatório_executivo_20_08_12,"15b3d393766ac87369e54837bbb8cb58",536,"001_2012_02_fevereiro_base_pmcmv_relatorio_executivo_10_02_2012",true
caixa_001_2012_08_agosto_pmcmv_relatório_executivo_24_08_12,"15b3d393766ac87369e54837bbb8cb58",536,"001_2012_02_fevereiro_base_pmcmv_relatorio_executivo_10_02_2012",true
caixa_001_2012_08_agosto_pmcmv_relatório_executivo_31_08_12,"15b3d393766ac87369e54837bbb8cb58",536,"001_2012_02_fevereiro_base_pmcmv_relatorio_executivo_10_02_2012",true
caixa_001_2012_09_setembro_bases_relatório_executivo_10_09_12,db907e2a8267a1b9b68181cb5391d132,17408,caixa_001_2012_09_setembro_bases_relatório_executivo_10_09_12,false
caixa_001_2012_09_setembro_bases_relatório_executivo_15_09_12,"348d04582fcbc29d48b047425cf8c4fe",17566,caixa_001_2012_09_setembro_bases_relatório_executivo_15_09_12,false
caixa_001_2012_09_setembro_bases_relatório_executivo_26092012,e11e4d5134a89ce860cac0b47de572cd,17744,caixa_001_2012_09_setembro_bases_relatório_executivo_26092012,false
caixa_001_2012_09_setembro_bases_relatório_executivo_30092012,"854dc0a31e28c1ac669cb8303e4cb07b",18016,caixa_001_2012_09_setembro_bases_relatório_executivo_30092012,false
caixa_001_2012_09_setembro_pmcmv_relatório_executivo_10_09_12,"15b3d393766ac87369e54837bbb8cb58",536,"001_2012_02_fevereiro_base_pmcmv_relatorio_executivo_10_02_2012",true
caixa_001_2012_09_setembro_pmcmv_relatório_executivo_26092012,"15b3d393766ac87369e54837bbb8cb58",536,"001_2012_02_fevereiro_base_pmcmv_relatorio_executivo_10_02_2012",true
