table_name,status,n_rows,n_cols,profile,institution,report_date,missing_pct,encoding_issues,date_parse_errors,type_coercion_warnings,error,evidence_quality_file,classificacao_formacao,classificacao_confidence,n_linhas,n_colunas,status_tratamento,perfil,score_utilidade_preditiva,canonical_table,content_hash,is_duplicate,file_size,treated_exists,flag_revisao
bb_2013_05_maio_entrada_bb_20130506,treated,580,34,colunar_denso,bb,2013-05-06,7.657200811359026,,,,,/home/juan-pablo/CIDADES/data-application-cidades/data-science/dados-historicos-tratamento/data/_qualidade_202606281215_perfil_cidades_dados_historicos.csv,bem_formada,medium,170,34,tratado,colunar_denso,4,bb_2013_05_maio_entrada_bb_20130506,64059ecee70fb61a71eb0aed49c43e2b,false,1232,False,
bb_2013_05_maio_entrada_bb_20130513,treated,580,34,colunar_denso,bb,2013-05-13,6.561866125760648,,,,,/home/juan-pablo/CIDADES/data-application-cidades/data-science/dados-historicos-tratamento/data/_qualidade_202606281215_perfil_cidades_dados_historicos.csv,bem_formada,medium,182,34,tratado,colunar_denso,4,bb_2013_05_maio_entrada_bb_20130513,f9a465b58966e259f30e0b3e21f4ca2f,false,1232,False,
bb_2013_06_junho_entrada_bb_20130604,treated,680,34,colunar_denso,bb,2013-06-04,2.9930795847750864,,,,,/home/juan-pablo/CIDADES/data-application-cidades/data-science/dados-historicos-tratamento/data/_qualidade_202606281215_perfil_cidades_dados_historicos.csv,bem_formada,medium,177,34,tratado,colunar_denso,4,bb_2013_06_junho_entrada_bb_20130604,afe7e5ef6b3663cf678e11cd1e5f1122,false,1232,False,
bb_2013_06_junho_entrada_bb_20130618,treated,680,34,colunar_denso,bb,2013-06-18,2.9930795847750864,,,,,/home/juan-pablo/CIDADES/data-application-cidades/data-science/dados-historicos-tratamento/data/_qualidade_202606281215_perfil_cidades_dados_historicos.csv,bem_formada,medium,177,34,tratado,colunar_denso,4,bb_2013_06_junho_entrada_bb_20130618,2e2e72f1db534f07d9a1509cabbcb3af,false,1232,False,
bb_2013_06_junho_entrada_bb_20130630,treated,680,34,colunar_denso,bb,2013-06-30,2.9930795847750864,,,,,/home/juan-pablo/CIDADES/data-application-cidades/data-science/dados-historicos-tratamento/data/_qualidade_202606281215_perfil_cidades_dados_historicos.csv,bem_formada,medium,178,34,tratado,colunar_denso,4,bb_2013_06_junho_entrada_bb_20130630,a08e919b8d777586605132c715d74c96,false,1232,False,
bb_2013_06_junho_pmcmv_18062013_tab_andamento_obras,treated,200,21,separador_pipe,bb,2013-06-01,0.0,0,0,0,,/home/juan-pablo/CIDADES/data-application-cidades/data-science/dados-historicos-tratamento/data/_qualidade_202606281215_perfil_cidades_dados_historicos.csv,separador_|,high,200,21,tratado,separador_pipe,0,bb_2013_06_junho_pmcmv_18062013_tab_andamento_obras,8d61d5fa385840d4bfd849478fb60927,false,1022,False,
bb_2013_06_junho_pmcmv_18062013_tab_arquivos_dados,discarded,0,0,dados_sem_utilidade,bb,2013-06-01,0.0,0,0,0,,/home/juan-pablo/CIDADES/data-application-cidades/data-science/dados-historicos-tratamento/data/_qualidade_202606281215_perfil_cidades_dados_historicos.csv,dados_sem_utilidade,high,0,0,erro,dados_sem_utilidade,-3,bb_2013_06_junho_pmcmv_18062013_tab_arquivos_dados,1505e84e3fe623a5bf7b062846d7023d,false,2,False,status_discarded;zero_rows;zero_cols;
bb_2013_06_junho_pmcmv_18062013_tab_beneficiarios_fgts,treated,30552,16,colunar_denso,bb,2013-06-01,1.4806722964126735,,,,,/home/juan-pablo/CIDADES/data-application-cidades/data-science/dados-historicos-tratamento/data/_qualidade_202606281215_perfil_cidades_dados_historicos.csv,bem_formada,high,200,16,tratado,colunar_denso,3,bb_2013_06_junho_pmcmv_18062013_tab_beneficiarios_fgts,c0d239b5b25680a67d65d1fb2fbd019e,false,30552,False,
bb_2013_06_junho_pmcmv_18062013_tab_caracterizacoes_entornos,treated,146,20,separador_pipe,bb,2013-06-01,0.0,0,0,0,,/home/juan-pablo/CIDADES/data-application-cidades/data-science/dados-historicos-tratamento/data/_qualidade_202606281215_perfil_cidades_dados_historicos.csv,separador_|,high,146,20,tratado,separador_pipe,0,bb_2013_06_junho_pmcmv_18062013_tab_caracterizacoes_entornos,c9cd51a7558307b235f19229c38c2d02,false,292,False,
bb_2013_06_junho_pmcmv_18062013_tab_contratos_pf_fgts,treated,38232,30,colunar_denso,bb,2013-06-01,2.3271953686266307,,,,,/home/juan-pablo/CIDADES/data-application-cidades/data-science/dados-historicos-tratamento/data/_qualidade_202606281215_perfil_cidades_dados_historicos.csv,bem_formada,high,200,30,tratado,colunar_denso,3,bb_2013_06_junho_pmcmv_18062013_tab_contratos_pf_fgts,1d5569b83adba7b61da95e7c287462f7,false,38232,False,
bb_2013_06_junho_pmcmv_18062013_tab_contratos_pj,treated,200,8,separador_pipe,bb,2013-06-01,0.0,0,0,0,,/home/juan-pablo/CIDADES/data-application-cidades/data-science/dados-historicos-tratamento/data/_qualidade_202606281215_perfil_cidades_dados_historicos.csv,separador_|,high,200,8,tratado,separador_pipe,0,bb_2013_06_junho_pmcmv_18062013_tab_contratos_pj,4e8772e5fb9230efd39076acc58f1283,false,596,False,
