key,size_mb,tags_preditive,sep_inferido,qtd_colunas_header,colunas_header,primeiras_linhas
raw/Dados_Prioritarios_Contratacoes_MCMV_FAR_FDS_RURAL_Semanal_20250829.csv,0.009,"contratacao_uh,far,fds_entidades,rural_fnhis,prioritarios_snh",;,11,﻿Data de Movimento | Agente Financeiro | APF | UF | Município | Código IBGE do Município | Nome Empreendimento | Modalidade | Data de Contratação | Valor Contratado | UH Contratadas,"﻿Data de Movimento;Agente Financeiro;APF;UF;Município;Código IBGE do Município;Nome Empreendimento;Modalidade;Data de Contratação;Valor Contratado;UH Contratadas
29/08/2025;CAIXA;63449944;ES;VILA VALERIO;3205176;ASPEPRO MORAR MELHOR                                        ;RURAL;01/08/2025;450.000,00;6
29/08/2025;CAIXA;63613378;PE;AGUAS BELAS;2600500;ALDEAMENTO FULNI                                            ;RURAL;01/08/2025;3.750.000,00;50
29/08/2025;CAIXA;63516767;BA;SALVADOR;2927408;RESIDENCIAL ANTONIO ALDEBARAN                               ;Entidades;01/08/2025;2.975.814,76;128
29/08/2025;CAIXA;63543835;RS;VIAMAO;4323002;CONDOMINIO TRAVESSA SAO PAULO                               ;Entidades;01/08/2025;2.681.551,26;128"
raw/Dados_Prioritarios_Contratacoes_MCMV_FAR_FDS_RURAL_Semanal_20251010.csv,0.006,"contratacao_uh,far,fds_entidades,rural_fnhis,prioritarios_snh",;,11,﻿Data de Movimento | Agente Financeiro | APF | UF | Município | Código IBGE do Município | Nome Empreendimento | Modalidade | Data de Contratação | Valor Contratado | UH Contratadas,"﻿Data de Movimento;Agente Financeiro;APF;UF;Município;Código IBGE do Município;Nome Empreendimento;Modalidade;Data de Contratação;Valor Contratado;UH Contratadas
10/10/2025;CAIXA;63478066;GO;BALIZA;5203104;BALIZA                                                      ;RURAL;01/10/2025;1.050.000,00;14
10/10/2025;CAIXA;63587646;MG;RIO PARDO DE MINAS;3155603;RIO PARDO DE MINAS                                          ;RURAL;01/10/2025;1.650.000,00;22
10/10/2025;CAIXA;63526333;MG;BURITIZEIRO;3109402;ALTO SAO FRANCISCO II                                       ;Entidades;01/10/2025;7.865.715,00;50
10/10/2025;CAIXA;63526447;MG;BURITIZEIRO;3109402;CONJUNTO HABITACIONAL ALTO SAO FRANCISCO I                  ;Entidades;01/10/2025;15.731.430,00;100"
raw/Dados_Prioritarios_Contratacoes_MCMV_FAR_FDS_RURAL_Semanal_20250822.csv,0.005,"contratacao_uh,far,fds_entidades,rural_fnhis,prioritarios_snh",;,11,﻿Data de Movimento | Agente Financeiro | APF | UF | Município | Código IBGE do Município | Nome Empreendimento | Modalidade | Data de Contratação | Valor Contratado | UH Contratadas,"﻿Data de Movimento;Agente Financeiro;APF;UF;Município;Código IBGE do Município;Nome Empreendimento;Modalidade;Data de Contratação;Valor Contratado;UH Contratadas
22/08/2025;CAIXA;63449944;ES;VILA VALERIO;3205176;ASPEPRO MORAR MELHOR                                        ;RURAL;01/08/2025;450000;6
22/08/2025;CAIXA;63613378;PE;AGUAS BELAS;2600500;ALDEAMENTO FULNI                                            ;RURAL;01/08/2025;3750000;50
22/08/2025;CAIXA;63516767;BA;SALVADOR;2927408;RESIDENCIAL ANTONIO ALDEBARAN                               ;Entidades;01/08/2025;2975814,76;128
22/08/2025;CAIXA;63543835;RS;VIAMAO;4323002;CONDOMINIO TRAVESSA SAO PAULO                               ;Entidades;01/08/2025;2681551,26;128"
raw/Dados_Prioritarios_Contratacoes_MCMV_FAR_FDS_RURAL_Semanal_20260130.csv,0.003,"contratacao_uh,far,fds_entidades,rural_fnhis,prioritarios_snh",;,11,﻿Data de Movimento | Agente Financeiro | APF | UF | Município | Código IBGE do Município | Nome Empreendimento | Modalidade | Data de Contratação | Valor Contratado | UH Contratadas,"﻿Data de Movimento;Agente Financeiro;APF;UF;Município;Código IBGE do Município;Nome Empreendimento;Modalidade;Data de Contratação;Valor Contratado;UH Contratadas
30/01/2026;CAIXA;63518924;CE;NOVA RUSSAS;2309300;RESIDENCIAL ROZA SOARES DIAS TAVARES                        ;Entidades;01/12/2025;15.869.844,90;100
30/01/2026;CAIXA;63536671;PE;RECIFE;2611606;HABITACIONAL ADELMO ARAUJO                                  ;Entidades;01/12/2025;35.907.264,00;192
30/01/2026;CAIXA;63536899;PE;SANTA CRUZ DO CAPIBARIBE;2612505;CONJUNTO HABITACIONAL FABIO ARAGAO                          ;Entidades;02/12/2025;24.395.817,60;144
30/01/2026;CAIXA;63798165;ES;IUNA;3203007;CONJUNTO HABITACIONAL GUANABARA II                          ;Entidades;02/12/2025;6.188.372,25;28"
raw/Dados_Prioritarios_Contratacoes_MCMV_FAR_FDS_RURAL_Semanal_20260123.csv,0.003,"contratacao_uh,far,fds_entidades,rural_fnhis,prioritarios_snh",;,11,﻿Data de Movimento | Agente Financeiro | APF | UF | Município | Código IBGE do Município | Nome Empreendimento | Modalidade | Data de Contratação | Valor Contratado | UH Contratadas,"﻿Data de Movimento;Agente Financeiro;APF;UF;Município;Código IBGE do Município;Nome Empreendimento;Modalidade;Data de Contratação;Valor Contratado;UH Contratadas
23/01/2026;CAIXA;63518924;CE;NOVA RUSSAS;2309300;RESIDENCIAL ROZA SOARES DIAS TAVARES                        ;Entidades;01/12/2025;15.869.844,90;100
23/01/2026;CAIXA;63536671;PE;RECIFE;2611606;HABITACIONAL ADELMO ARAUJO                                  ;Entidades;01/12/2025;35.907.264,00;192
23/01/2026;CAIXA;63536899;PE;SANTA CRUZ DO CAPIBARIBE;2612505;CONJUNTO HABITACIONAL FABIO ARAGAO                          ;Entidades;02/12/2025;24.395.817,60;144
23/01/2026;CAIXA;63798165;ES;IUNA;3203007;CONJUNTO HABITACIONAL GUANABARA II                          ;Entidades;02/12/2025;6.188.372,25;28"
raw/Dados_Prioritarios_Contratacoes_MCMV_FAR_FDS_RURAL_Semanal_20260116.csv,0.003,"contratacao_uh,far,fds_entidades,rural_fnhis,prioritarios_snh",;,11,﻿Data de Movimento | Agente Financeiro | APF | UF | Município | Código IBGE do Município | Nome Empreendimento | Modalidade | Data de Contratação | Valor Contratado | UH Contratadas,"﻿Data de Movimento;Agente Financeiro;APF;UF;Município;Código IBGE do Município;Nome Empreendimento;Modalidade;Data de Contratação;Valor Contratado;UH Contratadas
16/01/2026;CAIXA;63518924;CE;NOVA RUSSAS;2309300;RESIDENCIAL ROZA SOARES DIAS TAVARES                        ;Entidades;01/12/2025;15.869.844,90;100
16/01/2026;CAIXA;63536671;PE;RECIFE;2611606;HABITACIONAL ADELMO ARAUJO                                  ;Entidades;01/12/2025;35.907.264,00;192
16/01/2026;CAIXA;63536899;PE;SANTA CRUZ DO CAPIBARIBE;2612505;CONJUNTO HABITACIONAL FABIO ARAGAO                          ;Entidades;02/12/2025;24.395.817,60;144
16/01/2026;CAIXA;63798165;ES;IUNA;3203007;CONJUNTO HABITACIONAL GUANABARA II                          ;Entidades;02/12/2025;6.188.372,25;28"
raw/Dados_Prioritarios_Contratacoes_MCMV_FAR_FDS_RURAL_Semanal_20260109.csv,0.003,"contratacao_uh,far,fds_entidades,rural_fnhis,prioritarios_snh",;,11,﻿Data de Movimento | Agente Financeiro | APF | UF | Município | Código IBGE do Município | Nome Empreendimento | Modalidade | Data de Contratação | Valor Contratado | UH Contratadas,"﻿Data de Movimento;Agente Financeiro;APF;UF;Município;Código IBGE do Município;Nome Empreendimento;Modalidade;Data de Contratação;Valor Contratado;UH Contratadas
09/01/2026;CAIXA;63518924;CE;NOVA RUSSAS;2309300;RESIDENCIAL ROZA SOARES DIAS TAVARES                        ;Entidades;01/12/2025;15.869.844,90;100
09/01/2026;CAIXA;63536671;PE;RECIFE;2611606;HABITACIONAL ADELMO ARAUJO                                  ;Entidades;01/12/2025;35.907.264,00;192
09/01/2026;CAIXA;63536899;PE;SANTA CRUZ DO CAPIBARIBE;2612505;CONJUNTO HABITACIONAL FABIO ARAGAO                          ;Entidades;02/12/2025;24.395.817,60;144
09/01/2026;CAIXA;63798165;ES;IUNA;3203007;CONJUNTO HABITACIONAL GUANABARA II                          ;Entidades;02/12/2025;6.188.372,25;28"
raw/Dados_Prioritarios_Contratacoes_MCMV_FAR_FDS_RURAL_Semanal_20260327.csv,0.003,"contratacao_uh,far,fds_entidades,rural_fnhis,prioritarios_snh",;,11,﻿Data de Movimento | Agente Financeiro | APF | UF | Município | Código IBGE do Município | Nome Empreendimento | Modalidade | Data de Contratação | Valor Contratado | UH Contratadas,"﻿Data de Movimento;Agente Financeiro;APF;UF;Município;Código IBGE do Município;Nome Empreendimento;Modalidade;Data de Contratação;Valor Contratado;UH Contratadas
27/03/2026;CAIXA;64530653;AL;MARECHAL DEODORO;2704708;RESERVA DO LAGO II                                          ;FAR;04/02/2026;23.100.000,00;150
27/03/2026;CAIXA;63547263;SP;SAO PAULO;3550308;NOVA ESPERANCA                                              ;Entidades;06/02/2026;1.202.161,06;38
27/03/2026;CAIXA;63544746;SP;ITAPECERICA DA SERRA;3522208;VILA CALU                                                   ;Entidades;09/03/2026;4.592.006,40;100
27/03/2026;CAIXA;63544296;SP;EMBU;3515004;RESIDENCIAL ROQUE VALENTE IIB                               ;Entidades;09/03/2026;58.355.998,36;250"
raw/Dados_Prioritarios_Contratacoes_MCMV_FAR_FDS_RURAL_Semanal_20260529.csv,0.003,"contratacao_uh,far,fds_entidades,rural_fnhis,prioritarios_snh",;,11,﻿Data de Movimento | Agente Financeiro | APF | UF | Município | Código IBGE do Município | Nome Empreendimento | Modalidade | Data de Contratação | Valor Contratado | UH Contratadas,"﻿Data de Movimento;Agente Financeiro;APF;UF;Município;Código IBGE do Município;Nome Empreendimento;Modalidade;Data de Contratação;Valor Contratado;UH Contratadas
29/05/2026;CAIXA;64898207;PI;TERESINA;2211001;RESIDENCIAL SANTA TERESA II                                 ;FAR;06/04/2026;21.824.000,00;128
29/05/2026;CAIXA;64898311;PI;TERESINA;2211001;RESIDENCIAL SANTA TERESA III                                ;FAR;06/04/2026;24.552.000,00;144
29/05/2026;CAIXA;64573655;TO;PORTO NACIONAL;1718204;RESIDENCIAL PORTO MAIS HABITACAO TROPICAL II                ;FAR;10/04/2026;22.530.200,00;133
29/05/2026;CAIXA;64574566;TO;PARAISO DO TOCANTINS;1716109;RESIDENCIAL PARAISO DOS IPES II                             ;FAR;10/04/2026;10.164.000,00;60"
raw/Dados_Prioritarios_Contratacoes_MCMV_FAR_FDS_RURAL_Semanal_20260410.csv,0.002,"contratacao_uh,far,fds_entidades,rural_fnhis,prioritarios_snh",;,11,﻿Data de Movimento | Agente Financeiro | APF | UF | Município | Código IBGE do Município | Nome Empreendimento | Modalidade | Data de Contratação | Valor Contratado | UH Contratadas,"﻿Data de Movimento;Agente Financeiro;APF;UF;Município;Código IBGE do Município;Nome Empreendimento;Modalidade;Data de Contratação;Valor Contratado;UH Contratadas
10/04/2026;CAIXA;63529402;PA;GARRAFAO DO NORTE;1503077;CIDADE NOVA I                                               ;Entidades;05/03/2026;14.299.869,49;100
10/04/2026;CAIXA;63529517;PA;GARRAFAO DO NORTE;1503077;CIDADE NOVA II                                              ;Entidades;06/03/2026;7.149.933,32;50
10/04/2026;CAIXA;63544296;SP;EMBU;3515004;RESIDENCIAL ROQUE VALENTE IIB                               ;Entidades;09/03/2026;58.355.998,36;250
10/04/2026;CAIXA;63544309;SP;EMBU;3515004;RESIDENCIAL ROQUE VALENTE I A                               ;Entidades;09/03/2026;58.319.996,72;250"
