bucket,prefixo_consultado,object_name,top_prefix,filename,extension,category,size_bytes,last_modified,periodo_inferido,fonte_inferida,frente_inferida,frente_primaria,filename_norm,stem_norm,object_norm
data-lake-mcid,raw/sharepoint/,raw/sharepoint/,raw,sharepoint,,outro,0,2026-08-13T00:58:56.139000+00:00,,nao_identificada,nao_classificado,nao_classificado,sharepoint,sharepoint,raw_sharepoint
data-lake-mcid,raw/sharepoint/,raw/sharepoint/api_ibge_municipios.csv,raw,api_ibge_municipios.csv,.csv,dado_tabular_ou_serializado,1063108,2026-08-13T01:01:47.617000+00:00,,nao_identificada,conjuntura,conjuntura,api_ibge_municipios_csv,api_ibge_municipios,raw_sharepoint_api_ibge_municipios_csv
data-lake-mcid,raw/sharepoint/,raw/sharepoint/api_ibge_populacao.csv,raw,api_ibge_populacao.csv,.csv,dado_tabular_ou_serializado,555762,2026-08-13T01:01:47.258000+00:00,,nao_identificada,conjuntura,conjuntura,api_ibge_populacao_csv,api_ibge_populacao,raw_sharepoint_api_ibge_populacao_csv
data-lake-mcid,raw/sharepoint/,raw/sharepoint/api_ibge_regioes.csv,raw,api_ibge_regioes.csv,.csv,dado_tabular_ou_serializado,365,2026-08-13T01:01:47.432000+00:00,,nao_identificada,conjuntura,conjuntura,api_ibge_regioes_csv,api_ibge_regioes,raw_sharepoint_api_ibge_regioes_csv
data-lake-mcid,raw/sharepoint/,raw/sharepoint/api_ibge_uf.csv,raw,api_ibge_uf.csv,.csv,dado_tabular_ou_serializado,2144,2026-08-13T01:01:47.165000+00:00,,nao_identificada,conjuntura,conjuntura,api_ibge_uf_csv,api_ibge_uf,raw_sharepoint_api_ibge_uf_csv
data-lake-mcid,raw/sharepoint/,raw/sharepoint/base_trabalho_social_far_bb.csv,raw,base_trabalho_social_far_bb.csv,.csv,dado_tabular_ou_serializado,59159,2026-08-13T01:01:47.708000+00:00,,nao_identificada,far,far,base_trabalho_social_far_bb_csv,base_trabalho_social_far_bb,raw_sharepoint_base_trabalho_social_far_bb_csv
data-lake-mcid,raw/sharepoint/,raw/sharepoint/base_trabalho_social_far_caixa.csv,raw,base_trabalho_social_far_caixa.csv,.csv,dado_tabular_ou_serializado,1084621,2026-08-13T01:01:47.075000+00:00,,nao_identificada,far,far,base_trabalho_social_far_caixa_csv,base_trabalho_social_far_caixa,raw_sharepoint_base_trabalho_social_far_caixa_csv
data-lake-mcid,raw/sharepoint/,raw/sharepoint/base_trabalho_social_fds_caixa.csv,raw,base_trabalho_social_fds_caixa.csv,.csv,dado_tabular_ou_serializado,235047,2026-08-13T01:01:47.342000+00:00,,nao_identificada,entidades,entidades,base_trabalho_social_fds_caixa_csv,base_trabalho_social_fds_caixa,raw_sharepoint_base_trabalho_social_fds_caixa_csv
data-lake-mcid,raw/sharepoint/,raw/sharepoint/base_trabalho_social_pnhr_bb.csv,raw,base_trabalho_social_pnhr_bb.csv,.csv,dado_tabular_ou_serializado,308001,2026-08-13T01:01:47.530000+00:00,,nao_identificada,rural,rural,base_trabalho_social_pnhr_bb_csv,base_trabalho_social_pnhr_bb,raw_sharepoint_base_trabalho_social_pnhr_bb_csv
data-lake-mcid,raw/sharepoint/,raw/sharepoint/base_trabalho_social_pnhr_rural_caixa.csv,raw,base_trabalho_social_pnhr_rural_caixa.csv,.csv,dado_tabular_ou_serializado,2711573,2026-08-13T01:01:47.852000+00:00,,nao_identificada,rural,rural,base_trabalho_social_pnhr_rural_caixa_csv,base_trabalho_social_pnhr_rural_caixa,raw_sharepoint_base_trabalho_social_pnhr_rural_caixa_csv
data-lake-mcid,raw/sharepoint/,raw/sharepoint/dados_abertos_mcmv_fgts_analitico.csv,raw,dados_abertos_mcmv_fgts_analitico.csv,.csv,dado_tabular_ou_serializado,1745088840,2026-08-13T01:01:46.971000+00:00,,fgts,mcmv_geral;fgts_financiado,fgts_financiado,dados_abertos_mcmv_fgts_analitico_csv,dados_abertos_mcmv_fgts_analitico,raw_sharepoint_dados_abertos_mcmv_fgts_analitico_csv
data-lake-mcid,raw/sharepoint/,raw/sharepoint/dados_abertos_mcmv_fgts_sintetico.csv,raw,dados_abertos_mcmv_fgts_sintetico.csv,.csv,dado_tabular_ou_serializado,7928964,2026-08-13T01:01:41.473000+00:00,,fgts,mcmv_geral;fgts_financiado,fgts_financiado,dados_abertos_mcmv_fgts_sintetico_csv,dados_abertos_mcmv_fgts_sintetico,raw_sharepoint_dados_abertos_mcmv_fgts_sintetico_csv
data-lake-mcid,raw/sharepoint/,raw/sharepoint/dados_abertos_mcmv_ogu_empreendimentos.csv,raw,dados_abertos_mcmv_ogu_empreendimentos.csv,.csv,dado_tabular_ou_serializado,4944732,2026-08-13T01:01:40.696000+00:00,,ogu,mcmv_geral;ogu_subsidiado,ogu_subsidiado,dados_abertos_mcmv_ogu_empreendimentos_csv,dados_abertos_mcmv_ogu_empreendimentos,raw_sharepoint_dados_abertos_mcmv_ogu_empreendimentos_csv
data-lake-mcid,raw/sharepoint/,raw/sharepoint/dados_abertos_orcamento_2024.csv,raw,dados_abertos_orcamento_2024.csv,.csv,dado_tabular_ou_serializado,2160,2026-08-13T01:01:41.150000+00:00,,nao_identificada,nao_classificado,nao_classificado,dados_abertos_orcamento_2024_csv,dados_abertos_orcamento_2024,raw_sharepoint_dados_abertos_orcamento_2024_csv
data-lake-mcid,raw/sharepoint/,raw/sharepoint/dados_abertos_orcamento_emendas_parlamentares_2024.csv,raw,dados_abertos_orcamento_emendas_parlamentares_2024.csv,.csv,dado_tabular_ou_serializado,6752,2026-08-13T01:01:41.357000+00:00,,nao_identificada,nao_classificado,nao_classificado,dados_abertos_orcamento_emendas_parlamentares_2024_csv,dados_abertos_orcamento_emendas_parlamentares_2024,raw_sharepoint_dados_abertos_orcamento_emendas_parlamentares_2024_csv
