key,layer,extension,size_bytes,size_mb,last_modified,year_hint,tags_preditive,score_preditivo
staging/MC20260220__MCidades_CCI_CCA_2026.mdb__pro_cotista.parquet,staging,parquet,29738,0.028,2026-07-17T03:14:28.598000+00:00,2026.0,,0
raw/EMENTARIO LEI.xls,raw,xls,29696,0.028,2026-07-03T08:31:38.096000+00:00,,,0
raw/EMENTARIO LEI_0001.xls,raw,xls,29696,0.028,2026-07-03T08:31:39.267000+00:00,,,0
staging/MC20260213__MCidades_CCI_CCA_2026.mdb__pro_cotista.parquet,staging,parquet,28580,0.027,2026-07-17T03:12:58.481000+00:00,2026.0,,0
staging/dados_historicos/_quality_report.parquet,staging,parquet,27030,0.026,2026-07-17T05:13:15.871000+00:00,,,0
raw/032020_Validacoes_PMCMV_MAR_2020.xlsx,raw,xlsx,26728,0.025,2026-07-02T20:17:05.398000+00:00,2020.0,,0
staging/MC20260206__MCidades_CCI_CCA_2026.mdb__pro_cotista.parquet,staging,parquet,26167,0.025,2026-07-17T03:11:31.575000+00:00,2026.0,,0
staging_dryrun/MC20260206__MCidades_CCI_CCA_2026__pro_cotista.parquet,staging_dryrun,parquet,26167,0.025,2026-07-17T00:36:57.284000+00:00,2026.0,,0
raw/PMCMV_CIDADES_MCID_2026_03_01.csv,raw,csv,26025,0.025,2026-07-02T20:21:12.004000+00:00,2026.0,,0
raw/PMCMV_CIDADES_MCID_2026_02_06.csv,raw,csv,25366,0.024,2026-07-02T20:21:11.729000+00:00,2026.0,,0
raw/PMCMV_CIDADES_MCID_2026_02_06_0000.csv,raw,csv,25366,0.024,2026-07-02T20:21:11.868000+00:00,2026.0,,0
staging/MC20260204__MCidades_CCI_CCA_ATUAL.mdb__pro_cotista.parquet,staging,parquet,25126,0.024,2026-07-17T03:10:11.640000+00:00,2026.0,,0
raw/EMENTARIO  DECRETO.xls,raw,xls,23552,0.022,2026-07-03T08:31:37.938000+00:00,,,0
raw/EMENTARIO  DECRETO_0001.xls,raw,xls,23552,0.022,2026-07-03T08:31:39.120000+00:00,,,0
raw/CORREÇÃO_FASE_PROJETO.xlsx,raw,xlsx,23017,0.022,2026-07-02T20:21:01.234000+00:00,,,0
raw/EMENTARIO IN MCIDADES - 2004.xls,raw,xls,20480,0.02,2026-07-03T08:31:38.038000+00:00,2004.0,,0
raw/EMENTARIO IN MCIDADES - 2004_0001.xls,raw,xls,20480,0.02,2026-07-03T08:31:39.219000+00:00,2004.0,,0
raw/EMENTARIO  DEMAIS LEGISLAÇσES.xls,raw,xls,19968,0.019,2026-07-03T08:31:37.985000+00:00,,,0
