escopo,tipo,arquivo_origem,caminho_relativo,nome,extensao,categoria,tamanho_bytes,modificado_em,periodo_inferido,fonte_inferida,frente_inferida,frente_primaria,detalhe_estrutura,erro
zip,arquivo,SNHIS/Arquivados/FNHIS_SEMANAL_14-04-2025.zip,FNHIS_SEMANAL_14-04-2025.xls,FNHIS_SEMANAL_14-04-2025.xls,.xls,dado_tabular_ou_serializado,2025472,2025-04-14T11:07:12+00:00,,nao_identificada,sub50_fnhis,sub50_fnhis,erro_excel:`Import xlrd` failed. Install xlrd >= 2.0.1 for xls Excel support Use pip or conda to install the xlrd package.,
zip,arquivo,SNHIS/Arquivados/FNHIS_SEMANAL_16-06-2025 - M.zip,FNHIS_SEMANAL_16-06-2025 - M.xls,FNHIS_SEMANAL_16-06-2025 - M.xls,.xls,dado_tabular_ou_serializado,1665536,2025-06-16T15:45:28+00:00,,nao_identificada,sub50_fnhis,sub50_fnhis,erro_excel:`Import xlrd` failed. Install xlrd >= 2.0.1 for xls Excel support Use pip or conda to install the xlrd package.,
zip,arquivo,SNHIS/Arquivados/FNHIS_SEMANAL_16-06-2025 G.zip,FNHIS_SEMANAL_16-06-2025 G.xls,FNHIS_SEMANAL_16-06-2025 G.xls,.xls,dado_tabular_ou_serializado,2023424,2025-06-16T15:47:58+00:00,,nao_identificada,sub50_fnhis,sub50_fnhis,erro_excel:`Import xlrd` failed. Install xlrd >= 2.0.1 for xls Excel support Use pip or conda to install the xlrd package.,
zip,arquivo,SNHIS/Arquivados/FNHIS_SEMANAL_19-05-2025 G.zip,FNHIS_SEMANAL_19-05-2025 G.xls,FNHIS_SEMANAL_19-05-2025 G.xls,.xls,dado_tabular_ou_serializado,2022912,2025-05-19T12:52:42+00:00,,nao_identificada,sub50_fnhis,sub50_fnhis,erro_excel:`Import xlrd` failed. Install xlrd >= 2.0.1 for xls Excel support Use pip or conda to install the xlrd package.,
zip,arquivo,SNHIS/Arquivados/FNHIS_SEMANAL_19-05-2025 M.zip,FNHIS_SEMANAL_19-05-2025 M.xls,FNHIS_SEMANAL_19-05-2025 M.xls,.xls,dado_tabular_ou_serializado,1665536,2025-05-19T12:54:54+00:00,,nao_identificada,sub50_fnhis,sub50_fnhis,erro_excel:`Import xlrd` failed. Install xlrd >= 2.0.1 for xls Excel support Use pip or conda to install the xlrd package.,
zip,arquivo,SNHIS/Arquivados/FNHIS_SEMANAL_22-04-2025.zip,FNHIS_SEMANAL_22-04-2025.xls,FNHIS_SEMANAL_22-04-2025.xls,.xls,dado_tabular_ou_serializado,2027008,2025-04-22T12:56:20+00:00,,nao_identificada,sub50_fnhis,sub50_fnhis,erro_excel:`Import xlrd` failed. Install xlrd >= 2.0.1 for xls Excel support Use pip or conda to install the xlrd package.,
zip,arquivo,SNHIS/Arquivados/FNHIS_SEMANAL_23-06-2025 - G.zip,FNHIS_SEMANAL_23-06-2025 - G.xls,FNHIS_SEMANAL_23-06-2025 - G.xls,.xls,dado_tabular_ou_serializado,2023424,2025-06-23T16:02:18+00:00,,nao_identificada,sub50_fnhis,sub50_fnhis,erro_excel:`Import xlrd` failed. Install xlrd >= 2.0.1 for xls Excel support Use pip or conda to install the xlrd package.,
zip,arquivo,SNHIS/Arquivados/FNHIS_SEMANAL_23-06-2025 - M.zip,FNHIS_SEMANAL_23-06-2025 - M.xls,FNHIS_SEMANAL_23-06-2025 - M.xls,.xls,dado_tabular_ou_serializado,1659392,2025-06-23T15:59:58+00:00,,nao_identificada,sub50_fnhis,sub50_fnhis,erro_excel:`Import xlrd` failed. Install xlrd >= 2.0.1 for xls Excel support Use pip or conda to install the xlrd package.,
zip,erro_zip,SNHIS/Arquivados/FNHIS_SEMANAL_24-03-2025.zip,,FNHIS_SEMANAL_24-03-2025.zip,.zip,arquivo_compactado,404,2026-08-29T15:50:00+00:00,,nao_identificada,sub50_fnhis,sub50_fnhis,,File is not a zip file
zip,arquivo,SNHIS/Arquivados/FNHIS_SEMANAL_26-05-2025 G.zip,FNHIS_SEMANAL_26-05-2025 G.xls,FNHIS_SEMANAL_26-05-2025 G.xls,.xls,dado_tabular_ou_serializado,2022912,2025-05-26T13:38:34+00:00,,nao_identificada,sub50_fnhis,sub50_fnhis,erro_excel:`Import xlrd` failed. Install xlrd >= 2.0.1 for xls Excel support Use pip or conda to install the xlrd package.,
