"table_name","column_name","data_type"
_202409_snh_pmcmv_dados_prioritarios_af_caixa,mcmv_ogu_29_txt_situacao_empreendimento_janeiro_ano_dt_referenc,text
_202409_snh_pmcmv_dados_prioritarios_af_caixa,mcmv_ogu_30_vlr_desembolsado_no_ano_dt_referencia,text
_202409_snh_pmcmv_dados_prioritarios_af_caixa,mcmv_ogu_31_txt_detalha_situacao_empreendimento_janeiro_ano_dt_,text
_202409_snh_pmcmv_dados_prioritarios_af_caixa,dt_previsao_entrega,text
_202409_snh_pmcmv_dados_prioritarios_af_caixa,qt_uh_previsao_entrega,text
_202409_snh_pmcmv_dados_prioritarios_af_caixa,dt_ingest,text
_202409_snh_pmcmv_dados_prioritarios_af_caixa,arquivo_origem,text
_202409_snh_pmcmv_dados_prioritarios_af_caixa_entregas,data_de_movimento,text
_202409_snh_pmcmv_dados_prioritarios_af_caixa_entregas,agente_financeiro,text
_202409_snh_pmcmv_dados_prioritarios_af_caixa_entregas,apf,text
_202409_snh_pmcmv_dados_prioritarios_af_caixa_entregas,dt_entrega,text
_202409_snh_pmcmv_dados_prioritarios_af_caixa_entregas,qt_uh_entregues,text
_202409_snh_pmcmv_dados_prioritarios_af_caixa_entregas,dt_ingest,text
_202409_snh_pmcmv_dados_prioritarios_af_caixa_entregas,arquivo_origem,text
_202410_snh_pmcmv_dados_prioritarios_af_caixa,data_de_movimento,text
_202410_snh_pmcmv_dados_prioritarios_af_caixa,agente_financeiro,text
_202410_snh_pmcmv_dados_prioritarios_af_caixa,apf,text
_202410_snh_pmcmv_dados_prioritarios_af_caixa,uf,text
_202410_snh_pmcmv_dados_prioritarios_af_caixa,municipio,text
_202410_snh_pmcmv_dados_prioritarios_af_caixa,codigo_ibge_do_municipio,text
_202410_snh_pmcmv_dados_prioritarios_af_caixa,nome_empreendimento,text
_202410_snh_pmcmv_dados_prioritarios_af_caixa,modalidade,text
_202410_snh_pmcmv_dados_prioritarios_af_caixa,situacao_do_empreendimento,text
_202410_snh_pmcmv_dados_prioritarios_af_caixa,detalhamento_da_situacao_do_empreendimento,text
_202410_snh_pmcmv_dados_prioritarios_af_caixa,data_de_contratacao,text
_202410_snh_pmcmv_dados_prioritarios_af_caixa,exec,text
_202410_snh_pmcmv_dados_prioritarios_af_caixa,valor_contratado,text
_202410_snh_pmcmv_dados_prioritarios_af_caixa,valor_aporte_adicional,text
_202410_snh_pmcmv_dados_prioritarios_af_caixa,valor_desembolsado,text
_202410_snh_pmcmv_dados_prioritarios_af_caixa,uh_contratadas,text
_202410_snh_pmcmv_dados_prioritarios_af_caixa,uh_entregues,text
_202410_snh_pmcmv_dados_prioritarios_af_caixa,uh_vigentes,text
_202410_snh_pmcmv_dados_prioritarios_af_caixa,observacoes,text
_202410_snh_pmcmv_dados_prioritarios_af_caixa,mcmv_ogu_27_qtd_vigentes_janeiro_ano_dt_referencia,text
_202410_snh_pmcmv_dados_prioritarios_af_caixa,mcmv_ogu_28_qtd_entregues_ano_dt_referencia,text
_202410_snh_pmcmv_dados_prioritarios_af_caixa,mcmv_ogu_29_txt_situacao_empreendimento_janeiro_ano_dt_referenc,text
_202410_snh_pmcmv_dados_prioritarios_af_caixa,mcmv_ogu_30_vlr_desembolsado_no_ano_dt_referencia,text
_202410_snh_pmcmv_dados_prioritarios_af_caixa,mcmv_ogu_31_txt_detalha_situacao_empreendimento_janeiro_ano_dt_,text
_202410_snh_pmcmv_dados_prioritarios_af_caixa,quantidade_de_uhs_contratadas_em_janeiro_do_ano_de_referencia,text
_202410_snh_pmcmv_dados_prioritarios_af_caixa,quantidade_de_uhs_contratadas_do_ano_de_referencia,text
_202410_snh_pmcmv_dados_prioritarios_af_caixa,quantidade_de_uhs_entregues_em_janeiro_do_ano_de_referencia,text
_202410_snh_pmcmv_dados_prioritarios_af_caixa,quantidade_de_uhs_vigentes_do_ano_de_referencia,text
_202410_snh_pmcmv_dados_prioritarios_af_caixa,quantidade_de_uhs_distratadas,text
_202410_snh_pmcmv_dados_prioritarios_af_caixa,quantidade_de_uhs_distratadas_em_janeiro_do_ano_de_referencia,text
_202410_snh_pmcmv_dados_prioritarios_af_caixa,quantidade_de_uhs_distratadas_do_ano_de_referencia,text
_202410_snh_pmcmv_dados_prioritarios_af_caixa,dt_previsao_entrega,text
_202410_snh_pmcmv_dados_prioritarios_af_caixa,qt_uh_previsao_entrega,text
_202410_snh_pmcmv_dados_prioritarios_af_caixa,dt_ingest,text
_202410_snh_pmcmv_dados_prioritarios_af_caixa,arquivo_origem,text
_202411_snh_pmcmv_dados_prioritarios_af_caixa_entregas,data_de_movimento,text
_202411_snh_pmcmv_dados_prioritarios_af_caixa_entregas,agente_financeiro,text
_202411_snh_pmcmv_dados_prioritarios_af_caixa_entregas,apf,text
_202411_snh_pmcmv_dados_prioritarios_af_caixa_entregas,dt_entrega,text
_202411_snh_pmcmv_dados_prioritarios_af_caixa_entregas,qt_uh_entregues,text
_202411_snh_pmcmv_dados_prioritarios_af_caixa_entregas,dt_ingest,text
_202411_snh_pmcmv_dados_prioritarios_af_caixa_entregas,arquivo_origem,text
_202411_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_b,data_de_movimento,text
_202411_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_b,agente_financeiro,text
_202411_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_b,apf,text
_202411_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_b,dt_ass_doc,text
_202411_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_b,numero_de_unidades_entregues,text
_202411_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_b,dt_ingest,text
_202411_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_b,arquivo_origem,text
_202412_snh_pmcmv_dados_prioritarios_af_caixa,data_de_movimento,text
_202412_snh_pmcmv_dados_prioritarios_af_caixa,agente_financeiro,text
_202412_snh_pmcmv_dados_prioritarios_af_caixa,apf,text
_202412_snh_pmcmv_dados_prioritarios_af_caixa,uf,text
_202412_snh_pmcmv_dados_prioritarios_af_caixa,municipio,text
_202412_snh_pmcmv_dados_prioritarios_af_caixa,codigo_ibge_do_municipio,text
_202412_snh_pmcmv_dados_prioritarios_af_caixa,nome_empreendimento,text
_202412_snh_pmcmv_dados_prioritarios_af_caixa,modalidade,text
_202412_snh_pmcmv_dados_prioritarios_af_caixa,situacao_do_empreendimento,text
_202412_snh_pmcmv_dados_prioritarios_af_caixa,detalhamento_da_situacao_do_empreendimento,text
_202412_snh_pmcmv_dados_prioritarios_af_caixa,data_de_contratacao,text
_202412_snh_pmcmv_dados_prioritarios_af_caixa,exec,text
_202412_snh_pmcmv_dados_prioritarios_af_caixa,valor_contratado,text
_202412_snh_pmcmv_dados_prioritarios_af_caixa,valor_aporte_adicional,text
_202412_snh_pmcmv_dados_prioritarios_af_caixa,valor_desembolsado,text
_202412_snh_pmcmv_dados_prioritarios_af_caixa,uh_contratadas,text
_202412_snh_pmcmv_dados_prioritarios_af_caixa,uh_entregues,text
_202412_snh_pmcmv_dados_prioritarios_af_caixa,uh_vigentes,text
_202412_snh_pmcmv_dados_prioritarios_af_caixa,observacoes,text
_202412_snh_pmcmv_dados_prioritarios_af_caixa,quantidade_de_uhs_vigentes_em_janeiro_do_ano_de_referencia,text
_202412_snh_pmcmv_dados_prioritarios_af_caixa,quantidade_de_uhs_entregues_do_ano_de_referencia,text
_202412_snh_pmcmv_dados_prioritarios_af_caixa,situacao_do_empreendimento_em_janeiro_do_ano_de_referencia,text
_202412_snh_pmcmv_dados_prioritarios_af_caixa,valor_desembolsado_do_ano_de_referencia,text
_202412_snh_pmcmv_dados_prioritarios_af_caixa,detalhamento_da_situacao_do_empreendimento_em_janeiro_do_ano_de,text
_202412_snh_pmcmv_dados_prioritarios_af_caixa,quantidade_de_uhs_contratadas_em_janeiro_do_ano_de_referencia,text
_202412_snh_pmcmv_dados_prioritarios_af_caixa,quantidade_de_uhs_contratadas_do_ano_de_referencia,text
