fonte_familia,chave_natural,motivo,evidencia
bext,100112134,valor_negativo_repetido,min R$ -0.1 mi em 10/20 snapshots
bext,100112157,valor_negativo_repetido,min R$ -0.1 mi em 9/20 snapshots
bext,100112159,valor_negativo_repetido,min R$ -0.1 mi em 8/20 snapshots
bext,100112270,valor_negativo_repetido,min R$ -0.1 mi em 12/20 snapshots
bext,100112487,valor_negativo_repetido,min R$ -0.1 mi em 7/20 snapshots
bext,100112490,valor_negativo_repetido,min R$ -0.1 mi em 10/20 snapshots
bext,100112497,valor_negativo_repetido,min R$ -0.1 mi em 10/20 snapshots
bext,100112498,valor_negativo_repetido,min R$ -0.1 mi em 11/20 snapshots
bext,100112505,valor_negativo_repetido,min R$ -0.1 mi em 9/20 snapshots
bext,100112507,valor_negativo_repetido,min R$ -0.1 mi em 12/20 snapshots
bext,100112509,valor_negativo_repetido,min R$ -0.1 mi em 11/20 snapshots
bext,100112512,valor_negativo_repetido,min R$ -0.1 mi em 13/20 snapshots
bext,100112514,valor_negativo_repetido,min R$ -0.1 mi em 10/20 snapshots
bext,100112515,valor_negativo_repetido,min R$ -0.1 mi em 12/20 snapshots
bext,100112519,valor_negativo_repetido,min R$ -0.1 mi em 11/20 snapshots
bext,100112520,valor_negativo_repetido,min R$ -0.1 mi em 12/20 snapshots
bext,100112524,valor_negativo_repetido,min R$ -0.1 mi em 8/20 snapshots
bext,100112525,valor_negativo_repetido,min R$ -0.1 mi em 8/20 snapshots
bext,100112526,valor_negativo_repetido,min R$ -0.1 mi em 11/20 snapshots
bext,100112528,valor_negativo_repetido,min R$ -0.1 mi em 12/20 snapshots
bext,100112531,valor_negativo_repetido,min R$ -0.1 mi em 8/20 snapshots
bext,100112549,valor_negativo_repetido,min R$ -0.1 mi em 9/20 snapshots
bext,100112555,valor_negativo_repetido,min R$ -0.1 mi em 9/20 snapshots
bext,100112558,valor_negativo_repetido,min R$ -0.1 mi em 10/20 snapshots
bext,100112578,valor_negativo_repetido,min R$ -0.1 mi em 14/20 snapshots
bext,100112579,valor_negativo_repetido,min R$ -0.1 mi em 9/20 snapshots
