dataset_id,schema,table_name,dataset_front,sample_term,sharepoint_content_match,sharepoint_match_count,sharepoint_examples
84,entidades_fds,fds_evolucao_financeira_chart,entidades,BOM JESUS DA LAPA,True,1,OneDrive_2026-08-19 (4).zip::Novo MCMV - FDS/Arquivados/Arquivo 2025 - Cad PJ/MONIT_CAD_PJ_FDS_20251009_040153.csv
84,entidades_fds,fds_evolucao_financeira_chart,entidades,ASSOCIACAO SOLIDARIA UNIDAS,True,1,OneDrive_2026-08-19 (4).zip::Novo MCMV - FDS/Arquivados/Arquivo 2025 - Cad PJ/MONIT_CAD_PJ_FDS_20251009_040153.csv
84,entidades_fds,fds_evolucao_financeira_chart,entidades,04113405000197,False,0,
84,entidades_fds,fds_evolucao_financeira_chart,entidades,63513353,True,1,OneDrive_2026-08-19 (4).zip::Novo MCMV - FDS/Arquivados/Arquivo 2025 - Cad PJ/MONIT_CAD_PJ_FDS_20251009_040153.csv
84,entidades_fds,fds_evolucao_financeira_chart,entidades,CANDIBA,True,1,OneDrive_2026-08-19 (4).zip::Novo MCMV - FDS/Arquivados/Arquivo 2025 - Cad PJ/MONIT_CAD_PJ_FDS_20251009_040153.csv
84,entidades_fds,fds_evolucao_financeira_chart,entidades,ASSOCIACAO DOS AMIGOS DO MUNICIPIO DE CANDIBA,True,1,OneDrive_2026-08-19 (4).zip::Novo MCMV - FDS/Arquivados/Arquivo 2025 - Cad PJ/MONIT_CAD_PJ_FDS_20251009_040153.csv
84,entidades_fds,fds_evolucao_financeira_chart,entidades,07616466000165,False,0,
84,entidades_fds,fds_evolucao_financeira_chart,entidades,63514378,True,1,OneDrive_2026-08-19 (4).zip::Novo MCMV - FDS/Arquivados/Arquivo 2025 - Cad PJ/MONIT_CAD_PJ_FDS_20251009_040153.csv
84,entidades_fds,fds_evolucao_financeira_chart,entidades,IGAPORÃ,True,1,OneDrive_2026-08-19 (4).zip::Novo MCMV - FDS/Arquivados/Arquivo 2025 - Cad PJ/MONIT_CAD_PJ_FDS_20251009_040153.csv
86,empreendimento_rural,ficha_empreendimento_rural,rural,02443448,False,0,
86,empreendimento_rural,ficha_empreendimento_rural,rural,1681 - CAPRICHANDO A MORADA II,False,0,
86,empreendimento_rural,ficha_empreendimento_rural,rural,Presidente Tancredo Neves,False,0,
86,empreendimento_rural,ficha_empreendimento_rural,rural,13070949000100,False,0,
86,empreendimento_rural,ficha_empreendimento_rural,rural,01420205,False,0,
86,empreendimento_rural,ficha_empreendimento_rural,rural,964 - CIST - AVELINO LOPES,False,0,
86,empreendimento_rural,ficha_empreendimento_rural,rural,Avelino Lopes,False,0,
86,empreendimento_rural,ficha_empreendimento_rural,rural,6553572000184,False,0,
86,empreendimento_rural,ficha_empreendimento_rural,rural,02176499,False,0,
86,empreendimento_rural,ficha_empreendimento_rural,rural,1702 - PA SEBASTIAO DA MAIA -,False,0,
87,empreendimento_rural,panorama_estadual_rural,rural,RONDÔNIA,True,1,OneDrive_2026-08-19 (2).zip::Novo MCMV - Rural/Lista Selecionadas_Autorizadas MCMV-Rural_20240220.xlsx
87,empreendimento_rural,panorama_estadual_rural,rural,ACRE,True,1,OneDrive_2026-08-19 (2).zip::Novo MCMV - Rural/Lista Selecionadas_Autorizadas MCMV-Rural_20240220.xlsx
87,empreendimento_rural,panorama_estadual_rural,rural,AMAZONAS,True,1,OneDrive_2026-08-19 (2).zip::Novo MCMV - Rural/Lista Selecionadas_Autorizadas MCMV-Rural_20240220.xlsx
87,empreendimento_rural,panorama_estadual_rural,rural,RORAIMA,False,0,
87,empreendimento_rural,panorama_estadual_rural,rural,PARÁ,True,1,OneDrive_2026-08-19 (2).zip::Novo MCMV - Rural/Lista Selecionadas_Autorizadas MCMV-Rural_20240220.xlsx
87,empreendimento_rural,panorama_estadual_rural,rural,AMAPÁ,False,0,
87,empreendimento_rural,panorama_estadual_rural,rural,TOCANTINS,True,1,OneDrive_2026-08-19 (2).zip::Novo MCMV - Rural/Lista Selecionadas_Autorizadas MCMV-Rural_20240220.xlsx
87,empreendimento_rural,panorama_estadual_rural,rural,MARANHÃO,True,1,OneDrive_2026-08-19 (2).zip::Novo MCMV - Rural/Lista Selecionadas_Autorizadas MCMV-Rural_20240220.xlsx
88,empreendimento_rural,execucao_fisica_financeira_chart_rural,rural,29101380,False,0,
88,empreendimento_rural,execucao_fisica_financeira_chart_rural,rural,29101380 - São Francisco do Guaporé/RO - MORAR E VIVER BEM SAO FRANCISCO DO G,False,0,
88,empreendimento_rural,execucao_fisica_financeira_chart_rural,rural,2011-12-01,False,0,
88,empreendimento_rural,execucao_fisica_financeira_chart_rural,rural,2012-03-01,False,0,
88,empreendimento_rural,execucao_fisica_financeira_chart_rural,rural,2012-08-01,False,0,
88,empreendimento_rural,execucao_fisica_financeira_chart_rural,rural,2012-11-01,False,0,
88,empreendimento_rural,execucao_fisica_financeira_chart_rural,rural,29371954,False,0,
88,empreendimento_rural,execucao_fisica_financeira_chart_rural,rural,29371954 - São Jorge do Ivaí/PR - HABITACAO RURAL - SAO JORGE DO IVAI,False,0,
88,empreendimento_rural,execucao_fisica_financeira_chart_rural,rural,2010-11-01,False,0,
88,empreendimento_rural,execucao_fisica_financeira_chart_rural,rural,2011-02-01,False,0,
89,empreendimento_rural,mapa_nacional_rural,rural,Nordeste,True,1,OneDrive_2026-08-19 (2).zip::Novo MCMV - Rural/Lista Selecionadas_Autorizadas MCMV-Rural_20240220.xlsx
89,empreendimento_rural,mapa_nacional_rural,rural,Amazonas,True,1,OneDrive_2026-08-19 (2).zip::Novo MCMV - Rural/Lista Selecionadas_Autorizadas MCMV-Rural_20240220.xlsx
89,empreendimento_rural,mapa_nacional_rural,rural,Distrito Federal,False,0,
