dataset_id,database,schema,table_name,frente_primaria,sharepoint_match_nome,sharepoint_tem_frente,minio_bucket_match_nome,minio_bucket_tem_frente,minio_staging_match_nome,minio_staging_tem_frente,colunas_qtd,metricas_qtd,colunas_amostra
87,cidades,empreendimento_rural,panorama_estadual_rural,rural,False,True,False,True,False,False,12,1,; ; ; ; ; ; ; ; ; ; ; 
86,cidades,empreendimento_rural,ficha_empreendimento_rural,rural,False,True,False,True,False,False,32,1,; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
84,cidades,entidades_fds,fds_evolucao_financeira_chart,entidades,False,True,False,True,False,False,18,1,; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
88,cidades,empreendimento_rural,execucao_fisica_financeira_chart_rural,rural,False,True,False,True,False,False,5,1,; ; ; ; 
90,cidades,empreendimento_rural,perfil_beneficiarios,rural,False,True,False,True,False,False,15,1,; ; ; ; ; ; ; ; ; ; ; ; ; ; 
91,cidades,empreendimento_rural,infraestrutura_agua_saneamento,rural,False,True,False,True,False,False,12,1,; ; ; ; ; ; ; ; ; ; ; 
96,cidades,conjuntura_silver,Query conjuntura_silver.silver_ibge_pim_pf_brasil,cidades,False,False,False,False,False,False,7,1,; ; ; ; ; ; 
93,cidades,conjuntura_gold,Query conjuntura_gold.ConjunturaFinanciamentoPF,cidades,False,False,False,False,False,False,6,1,; ; ; ; ; 
94,cidades,conjuntura_silver,silver_novo_caged,cidades,False,False,False,False,False,False,12,1,; ; ; ; ; ; ; ; ; ; ; 
117,Cidades,conjuntura_continuo_mart,gold_continuo_novos_financiamentos_banco,cidades,False,False,False,False,False,False,16,1,; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
97,cidades,conjuntura_silver,silver_ibge_pmc_construcao,cidades,False,False,False,False,False,False,6,1,; ; ; ; ; 
95,cidades,conjuntura_silver,silver_ibge_pim_pf_brasil,cidades,False,False,False,False,False,False,6,1,; ; ; ; ; 
126,Cidades,conjuntura_continuo_mart,gold_continuo_ticket_medio,cidades,False,False,False,False,False,False,19,1,; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
125,Cidades,conjuntura_continuo_mart,gold_continuo_sinapi,cidades,False,False,False,False,False,False,6,1,; ; ; ; ; 
122,Cidades,conjuntura_continuo_mart,gold_continuo_pnad_rendimento,cidades,False,False,False,False,False,False,5,1,; ; ; ; 
121,Cidades,conjuntura_continuo_mart,gold_continuo_pnad_ocupados,cidades,False,False,False,False,False,False,5,1,; ; ; ; 
120,Cidades,conjuntura_continuo_mart,gold_continuo_pib_construcao_civil_pct,cidades,False,False,False,False,False,False,7,1,; ; ; ; ; ; 
118,Cidades,conjuntura_continuo_mart,gold_continuo_ogu,cidades,False,False,False,False,False,False,8,1,; ; ; ; ; ; ; 
116,Cidades,conjuntura_continuo_mart,gold_continuo_indice_imob,cidades,False,False,False,False,False,False,7,1,; ; ; ; ; ; 
114,Cidades,conjuntura_continuo_mart,gold_continuo_icst,cidades,False,False,False,False,False,False,8,1,; ; ; ; ; ; ; 
112,Cidades,conjuntura_continuo_mart,gold_continuo_fipezap,cidades,False,False,False,False,False,False,8,1,; ; ; ; ; ; ; 
111,Cidades,conjuntura_continuo_mart,gold_continuo_financiamentos_imobiliarios_pf_pj,cidades,False,False,False,False,False,False,7,1,; ; ; ; ; ; 
110,Cidades,conjuntura_continuo_mart,gold_continuo_financiamentos_habitacionais,cidades,False,False,False,False,False,False,8,1,; ; ; ; ; ; ; 
109,Cidades,conjuntura_continuo_mart,gold_continuo_financiamento_pf_faixa,cidades,False,False,False,False,False,False,20,1,; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
108,Cidades,conjuntura_continuo_mart,gold_continuo_fgts_valor_medio,cidades,False,False,False,False,False,False,11,1,; ; ; ; ; ; ; ; ; ; 
107,Cidades,conjuntura_continuo_mart,gold_continuo_empregos_caged,cidades,False,False,False,False,False,False,16,1,; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
106,Cidades,conjuntura_continuo_mart,gold_continuo_credito_pib,cidades,False,False,False,False,False,False,2,1,; 
105,Cidades,conjuntura_continuo_mart,gold_continuo_canal_fgts,cidades,False,False,False,False,False,False,14,1,; ; ; ; ; ; ; ; ; ; ; ; ; 
104,Cidades,conjuntura_continuo_mart,gold_continuo_balancos_empresas,cidades,False,False,False,False,False,False,13,1,; ; ; ; ; ; ; ; ; ; ; ; 
103,Cidades,conjuntura_continuo_mart,gold_continuo_balancos_empresas_totais,cidades,False,False,False,False,False,False,12,1,; ; ; ; ; ; ; ; ; ; ; 
102,cidades,conjuntura_gold,Query conjuntura_gold.ConjunturaPnad,cidades,False,False,False,False,False,False,4,1,; ; ; 
101,cidades,conjuntura_gold,Query conjuntura_gold.ConjunturaLancamentosRegiao 07/20/2026 13:18:50,cidades,False,False,False,False,False,False,7,1,; ; ; ; ; ; 
100,cidades,conjuntura_silver,Query conjuntura_silver.Query conjuntura_silver.silver_ibge_pmc_construcao,cidades,False,False,False,False,False,False,7,1,; ; ; ; ; ; 
99,cidades,conjuntura_silver,Query conjuntura_silver.Query conjuntura_silver.silver_ibge_pim_pf_brasil,cidades,False,False,False,False,False,False,8,1,; ; ; ; ; ; ; 
98,cidades,conjuntura_silver,Query conjuntura_silver.silver_ibge_pmc_construcao,cidades,False,False,False,False,False,False,6,1,; ; ; ; ; 
74,cidades,conjuntura_gold,ConjunturaPnadContinua,cidades,False,False,False,False,False,False,4,1,; ; ; 
